"C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21"
0,"2018 / 03","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Check Citations","4.7.0","Unspecified","gebw gebw","GEBW@473952",1,2,1,2,0,0,0,0,0,0,65110738,2
0,"2018 / 03","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Defined Terms","4.7.0","Unspecified","gebw gebw","GEBW@473952",1,46,1,2,0,0,0,0,0,0,65110738,46
0,"2018 / 03","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Definitions List","5.2.0.12","Unspecified","gebw gebw","GEBW@473952",1,4,1,2,0,0,0,0,0,0,65110738,4
0,"2018 / 03","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Mark Incomplete","4.7.0","Unspecified","gebw gebw","GEBW@473952",1,2,1,2,0,0,0,0,0,0,65110738,2
0,"2018 / 03","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","References","4.7.0","Unspecified","gebw gebw","GEBW@473952",1,4,1,2,0,0,0,0,0,0,65110738,4
0,"2018 / 03","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","References","5.2.0.12","Unspecified","gebw gebw","GEBW@473952",1,8,1,2,0,0,0,0,0,0,65110738,8
0,"2018 / 04","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Aggregate","5.2.0.12","Unspecified","gebw gebw","GEBW@473952",1,8,1,2,0,0,0,0,0,0,65110738,8
0,"2018 / 04","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Common Terms","5.2.0.12","Unspecified","gebw gebw","GEBW@473952",1,8,1,2,0,0,0,0,0,0,65110738,8
0,"2018 / 04","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Defined Terms","4.7.0","Unspecified","gebw gebw","GEBW@473952",1,14,1,2,0,0,0,0,0,0,65110738,14
0,"2018 / 04","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Definitions List","5.2.0.12","Unspecified","gebw gebw","GEBW@473952",1,8,1,2,0,0,0,0,0,0,65110738,8
0,"2018 / 04","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Editing Mistakes","5.2.0.12","Unspecified","gebw gebw","GEBW@473952",1,80,1,2,0,0,0,0,0,0,65110738,80
0,"2018 / 04","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Incomplete Items","5.2.0.12","Unspecified","gebw gebw","GEBW@473952",1,32,1,2,0,0,0,0,0,0,65110738,32
0,"2018 / 04","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Inconsistent Numbering","5.2.0.12","Unspecified","gebw gebw","GEBW@473952",1,20,1,2,0,0,0,0,0,0,65110738,20
0,"2018 / 04","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Inconsistent Phrases","5.2.0.12","Unspecified","gebw gebw","GEBW@473952",1,40,1,2,0,0,0,0,0,0,65110738,40
0,"2018 / 04","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Practical Guidance","4.7.0","Unspecified","gebw gebw","GEBW@473952",1,2,1,2,0,0,0,0,0,0,65110738,2
0,"2018 / 04","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","References","4.7.0","Unspecified","gebw gebw","GEBW@473952",1,2,1,2,0,0,0,0,0,0,65110738,2
0,"2018 / 04","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","References","5.2.0.12","Unspecified","gebw gebw","GEBW@473952",1,12,1,2,0,0,0,0,0,0,65110738,12
0,"2018 / 04","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Specifics","5.2.0.12","Unspecified","gebw gebw","GEBW@473952",1,8,1,2,0,0,0,0,0,0,65110738,8
0,"2018 / 04","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Summary","4.7.0","Unspecified","gebw gebw","GEBW@473952",1,56,1,2,0,0,0,0,0,0,65110738,56
0,"2018 / 05","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Definitions List","5.2.0.12","Unspecified","gebw gebw","GEBW@473952",1,4,1,2,0,0,0,0,0,0,65110738,4
0,"2018 / 05","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Editing Mistakes","5.2.0.12","Unspecified","gebw gebw","GEBW@473952",1,148,1,2,0,0,0,0,0,0,65110738,148
0,"2018 / 05","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Incomplete Items","5.2.0.12","Unspecified","gebw gebw","GEBW@473952",1,12,1,2,0,0,0,0,0,0,65110738,12
0,"2018 / 05","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Inconsistent Numbering","5.2.0.12","Unspecified","gebw gebw","GEBW@473952",1,4,1,2,0,0,0,0,0,0,65110738,4
0,"2018 / 05","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Practical Guidance","4.7.5","Unspecified","gebw gebw","GEBW@473952",1,2,1,2,0,0,0,0,0,0,65110738,2
0,"2018 / 05","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Risk Assesment","5.2.0.12","Unspecified","gebw gebw","GEBW@473952",1,4,1,2,0,0,0,0,0,0,65110738,4
