"ACTV_COUNT","DS_NAME","DT_WID","ROW_WID","YR_MTH","ACCNT_NAME","LEGACY_ACC","WU_EMAIL","USER_NAME","WU_LOGIN_ID"
1,"UNI",20180620,6129762173,"2018 / 06","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"UNI",20180621,6129824025,"2018 / 06","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20180621,6475748823,"2018 / 06","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20180621,6475908630,"2018 / 06","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20180621,6475925050,"2018 / 06","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20180621,6476171283,"2018 / 06","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20180621,6476271799,"2018 / 06","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20180621,6476318957,"2018 / 06","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"CHB",20180621,6476329978,"2018 / 06","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"UNI",20180626,6130292350,"2018 / 06","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20180626,6476344138,"2018 / 06","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"UNI",20180705,6129990041,"2018 / 07","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20180705,6475781545,"2018 / 07","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20180705,6476042960,"2018 / 07","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20180705,6476226236,"2018 / 07","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"CHB",20180705,6476242777,"2018 / 07","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20180705,6476300837,"2018 / 07","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"UNI",20180807,6133393525,"2018 / 08","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"CHB",20180807,6475797937,"2018 / 08","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"UNI",20180810,6133395599,"2018 / 08","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20180810,6475845454,"2018 / 08","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"UNI",20180817,6133442958,"2018 / 08","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20180817,6475840156,"2018 / 08","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20180817,6476149897,"2018 / 08","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"UNI",20180823,6133396595,"2018 / 08","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
